iter	Passed	Remaining
0	161	160950
1	167	83765
2	173	57684
3	178	44347
4	183	36587
5	190	31575
6	196	27913
7	204	25376
8	209	23094
9	214	21235
10	219	19766
11	223	18387
12	229	17399
13	235	16609
14	242	15939
15	249	15341
16	254	14711
17	258	14114
18	264	13657
19	271	13296
20	276	12868
21	281	12529
22	287	12217
23	293	11930
24	299	11699
25	306	11466
26	313	11280
27	318	11046
28	324	10874
29	332	10739
30	338	10594
31	345	10455
32	352	10336
33	361	10272
34	367	10122335	374	10013636	385	10037	37	391	9938	398	9830
39	404	9704
40	412	9644
41	420	9588
42	42	426	9443	43	432	9344	44	441	9345	45	446	9246	46	455	9247	47	461	9148	48	471	9149	49	484	9250	50	490	9151	51	497	9052	52	506	9052
53	515	9025
54	520	8949
55	527	8885
56	537	8896
57	542	8804
58	548	8759	59	555	8760	60	561	8643
61	567	8562	62	573	8563	63	583	8564	64	593	8532
65	600	8499
66	608	8479
67	613	8409
68	619	8369	69	627	8338
70	637	8335
71	647	8372	72	660	8373	73	672	8412
74	678	8373
75	686	8343
76	694	8377	77	698	8257
78	704	8279	79	715	8280	80	723	8281	81	738	8262
82	743	8215
83	748	8164
84	757	8150
85	765	8132
86	771	8087	87	782	8113
88	790	8094
89	801	8102
90	808	8076
91	816	8054
92	827	8069
93	834	8040
94	839	7993
95	849	7997
96	861	8017
97	868	7997
98	876	7974
99	885	7968
100	892	7946
101	902	7943
102	912	7950
103	923	7955
104	929	7921
105	939	7919
106	949	7920
107	956	7897
108	967	7906
109	976	7901
110	987	7910
111	996	7903
112	1001	7863
113	1007	7830
114	1012	7791
115	1021	7785
116	1031	7788
117	1037	7755
118	1045	7740
119	1052	7716
120	1058	7686
121	1070	7701
122	1079	7698
123	1085	7668
124	1096	7675
125	1102	7646
126	1105	7598
127	1112	7579
128	1121	7571
129	1129	7560
130	1135	7533
131	1141	7504
132	1151	7505
133	1160	7498
134	1173	7520
135	1183	7521
136	1191	7507
137	1197	7482
138	1204	7459
139	120140	121140	121141	122141	122142	122142	123143	123143	1242	7384
144	124145	125145	125146	126146	126147	126147	127148	127148	128149	128149	128150	129150	129151	129151	130152	130152	131153	131153	1324	7275
154	1331	7260
155	1345	7279
156	1354	7273
157	136158	1370	7247
159	1377	7230
160	1385	7219
161	1396	7225
162	1404	7209
163	1410	7188
164	1414	7159
165	1423	7151
166	1430	7137
167	1438	7123
168	144168	144169	144169	145170	145170	146171	146171	146172	1477	7061
173	1486	7054
174	1496	7056
175	1508	7060
176	1518	7059
177	1524	7040
178	1534	7038
179	1541	7021
180	1549	7011
181	1554	6984
182	1560	6967
183	1569	6958
184	1573	6931
185	1583	6927
186	1589	6911
187	1598	6905
188	1603	6881
189	1612	6875
190	1617	6850
191	1621	68241192	1628	68071193	1634	67901194	1641	67751195	1650	67701196	1657	67561197	1662	6734198	1667	6711
199	1678	6713
200	1685	6698
201	1690	6678
202	1698	6667
203	1708	6666
204	1713	6646
2205	1720	66302206	1729	6626
207	1737	6614
208	1745	6605
209	1751	65902210	1760	6582
211	1765	65612212	1772	65472213	1779	6537
214	1788	6529
215	1793	6510
216	1803	6508
217	1810	6493
218	1818	6483
219	1824	64682220	1830	64502221	1838	64422222	1846	64322223	1850	6410224	1859	6405
225	1864	6385
2226	1874	63832227	1882	63732228	1891	63672229	1897	63512230	1909	63562231	1918	63512232	1924	63342233	1930	63192234	1935	63012235	1947	63042236	1955	62942237	1958	62692238	1968	62672239	1979	6268
240	1986	6255
241	1991	62382242	1999	6229
243	2011	6232
244	2018	62212245	2030	6222
246	2036	6206
247	2043	6195
248	2048	6178
249	2057	6172
250	2066	6167
251	2074	6157
252	2083	6150
253	2088	6134
254	2099	6133
255	2116	6150
256	2120	6130
257	2131	6130
258	2142	6128
259	2147	6112
260	2153	6097
261	2162	6090
262	2169	6079
263	2180	6078
264	2189	6074
265	2199	6068
266	2210	6069
267	2222	6069
268	2229	6057
269	2238	6052
270	2246	6042
271	2257	6041
272	2260	6020
273	2272	6022
274	2280	6011
275	2285	5996
276	2296	5993
277	2301	5978
278	2308	5965
279	2315	5953
280	2326	5952
281	2332	5938
282	2343	5938
283	2350	5926
284	2363	5928
285	2370	5917
286	2382	5919
287	2388	5904
288	2397	5899
289	2406	5891
290	2415	5885
291	2424	5879
292	2432	5870
293	2444	5870
294	2452	5861
295	2458	5847
296	2466	5837
297	2473	5825
298	2478	5809
299	2484	5797
300	2492	5788
301	2499	5777
302	2506	5764
303	2510	57473304	2519	57403305	2525	57283306	2533	5718
307	2540	5708
308	2551	5705
309	2559	5696
310	2570	5694
311	2577	56833312	2585	5675
313	2593	5665
314	2604	5662
315	2607	5643
316	2613	56303317	2618	56153318	2625	56053319	2634	55983320	2643	55913321	2649	5579322	2660	5576
323	2669	5570
324	2676	5559
325	2686	5553
326	2694	5544
327	2705	5543
328	2712	5531
329	2722	5527
330	2731	5520
331	2741	5515
332	2755	5518
333	2763	5511
334	2769	5497
335	2776	5486
336	2781	5471
337	2790	5465
338	2797	5455
339	2809	5453
340	2814	5439
341	2819	5424
342	2826	5413
343	2832	5401
344	2838	5389
345	2847	5381
346	2852	5368
3347	2858	53543348	2875	5362
349	2881	5351
350	2886	5336
351	2892	5324
352	2901	5318
353	2909	5310
354	2917	5300
355	2922	5286
356	2927	5271
357	2932	52583358	2941	52523359	2950	52453360	2959	52373361	2965	52263362	2974	5219363	2983	5212
364	2992	5206
365	3003	5202
366	3009	5191
367	3019	5185
368	3037	5193
369	3049	5193
370	3055	5180
371	3067	5178
372	3072	5165
373	3082	5160
374	3091	5153
375	3099	5143
376	3106	5133
377	3120	5134
378	3124	5120
379	3134	5114
380	3147	5113
381	3154	5102
382	3162	5094
383	3171	5088
384	3176	5074
385	3188	5072
386	3196	5062
387	3211	5066
388	3219	5056
389	3227	5048
390	3238	5044
391	3241	5027
392	3251	5021
393	3262	5018
394	3272	5012
395	3284	5009
396	3290	4998
397	3295	4985
398	3303	4976
399	3309	4964
400	3318	4957
401	3331	4955
402	3343	4953
403	3350	4943
404	3356	4930
405	3366	4924
406	3375	4917
407	3386	4913
408	3392	4902
409	3399	4891
410	3409	4886
411	3420	4881
412	3435	4883
413	3442	4873
414	3448	4861
415	3452	4846
416	3462	4840
417	3468	4829
418	3474	4817
419	3482	4808
420	3491	4801
421	3500	4794
422	3510	4788
423	3517	4778
424	3529	4775
425	3538	4767
426	3541	4752
427	3550	4744
428	3558	4736
429	3566	4728
430	3579	4725
431	3586	4715
432	3594	4707
433	3604	4701
434	3612	4691
435	3617	4679
436	3622	4667
437	3627	4653
438	3640	4651
439	3648	4642
440	3656	4634
441	3664	4625
442	3670	4615
443	3681	4610
444	3692	4604
445	3701	4597
446	3709	4589
447	3716	4579
448	3722	4567
449	3730	4558
450	3736	4547
451	3748	4544
452	3754	4533
453	3760	4522
454	3769	4514
455	3776	4505
456	3785	4498
457	3797	4493
458	3805	4485
459	3813	4476
460	3816	4462
461	3824	4453
462	3833	4446
463	3844	4440
464	3847	4426
465	3855	4418
466	3863	4409
467	3870	4400
468	3880	4393
469	3887	4383
470	3895	4374
471	3902	4365
472	3911	4357
473	3923	4354
474	3931	4345
475	3939	4336
476	3947	4327
477	3955	4319
478	3965	4312
479	3972	4303
480	3980	4295
481	3990	4288
482	4000	4281
483	4006	4270
484	4016	4264
485	4022	4254
486	4034	4249
487	4044	4243
488	4054	4237
489	4062	4228
490	4072	4222
491	4078	4211
492	4085	4201
493	4094	4193
494	4105	4188
495	4116	4182
496	4126	4176
497	4133	4166
498	4139	4156
499	4146	4146
500	4158	4141
501	4165	4132
502	4176	4126
503	4187	4120
504	4200	4116
505	4207	4107
506	4215	4098
507	4225	4092
508	4234	4084
509	4241	4075
510	4250	4067
511	4255	4056
512	4267	4050
513	4272	4039
514	4278	4029
515	4282	4016
516	4290	4008
517	4299	4000
518	4306	3991
519	4317	3985
520	4324	3975
521	4333	3968
522	4338	3956
523	4347	3949
524	4355	3940
525	4362	3931
526	4369	3921
527	4373	3909
528	4379	3899
529	4389	3892
530	4396	3882
531	4400	3870
532	4407	3861
533	4416	3854
534	4428	3848
535	4437	3841
536	4450	3836
537	4458	3828
538	4465	3818
539	4472	3809
540	4483	3804
541	4496	3799
542	4500	3787
543	4511	3781
544	4515	3769
545	4522	3760
546	4531	3753
547	4535	3741
548	4547	3736
549	4557	3728
550	4564	3719
551	4578	3715
552	4586	3707
553	4592	3696
554	4600	3688
555	4605	3678
556	4613	3669
557	4623	3662
558	4634	3656
559	4643	3648
560	4650	3638
561	4656	3629
562	4665	3621
563	4673	3612
564	4681	3604
565	4691	3597
566	4695	3586
567	4699	3574
568	4708	3566
569	4714	3556
570	4722	3548
571	4729	3539
572	4739	3532
573	4746	3522
574	4756	3515
575	4760	3504
576	4771	3498
577	4780	3490
578	4788	3481
579	4795	3472
580	4802	3463
581	4808	3453
582	4814	3443
583	4823	3435
584	4831	3427
585	4838	3418
586	4847	3410
587	4855	3402
588	4862	3392
589	4869	3384
590	4875	3374
591	4885	3366
592	4896	3360
593	4905	3352
594	4913	3344
595	4920	3335
596	4929	3327
597	4938	3319
598	4942	3309
599	4952	3301
600	4959	3292
601	4968	3284
602	4974	3275
603	4982	3266
604	4988	3256
605	4997	3249
606	5003	3239
607	5013	3232
608	5021	3224
609	5031	3217
610	5039	3208
611	5043	3197
612	5048	3187
613	5054	3177
614	5063	3169
615	5075	3163
616	5084	3156
617	5096	3150
618	5102	3140
619	5112	3133
620	5117	3123
621	5125	3114
622	5130	3104
623	5138	3096
624	5149	3089
625	5156	3080
626	5168	3074
627	5176	3066
628	5191	3062
629	5196	3052
630	5206	3044
631	5216	3037
632	5229	3031
633	5239	3024
634	5247	3016
635	5253	3006
636	5262	2998
637	5275	2993
638	5282	2984
639	5290	2975
640	5295	2966
641	5301	2956
642	5309	2947
643	5315	2938
644	5327	2932
645	5334	2923
646	5343	2915
647	5348	2905
648	5357	2897
649	5365	2888
650	5373	2880
651	5380	2871
652	5392	2865
653	5404	2859
654	5413	2851
655	5421	2842
656	5428	2834
657	5435	2825
658	5446	2818
659	5451	2808
660	5455	2798
661	5460	2788
662	5468	2779
663	5475	2770
664	5481	2761
665	5488	2752
666	5499	2745
667	5508	2737
668	5516	2729
669	5519	2718
670	5526	2709
671	5531	2699
672	5539	2691
673	5548	2683
674	5558	2676
675	5570	2669
676	5577	2660
677	5583	2651
678	5595	2645
679	5599	2635
680	5605	2625
681	5613	2617
682	5621	2608
683	5629	2600
684	5633	2590
685	5639	2581
686	565687	565687	565688	566688	566689	5672	2548
690	5680	2540
691	5685	2530
692	569692	568693	5698	2512
694	5712	2506
695	5719	2498
696	5727	2489
697	5733	2480
698	5746	2474
699	5753	2465
700	5768	2460
701	5781	2454
702	5788	2445
703	5798	2437
704	5809	2430
705	5815	2421
706	5821	2412
707	5826	2402
708	5830	2392
709	5835	2383
710	5842	2374
711	5851	2366
712	5856	2357
713	5861	2347
714	5872	2340
715	5879	2331
716	5886	2323
717	5893	2314
718	5900	2305
719	5904	2296
720	5910	2287
721	5915	2277
722	5924	2269
723	5930	2260
724	5938	2252
725	5946	2244
726	5950	2234
727	5957	2225
728	5962	2216
729	5970	2208
730	5976	2199
731	5984	2190
732	5991	2182
733	5997	2173
734	6008	2166
735	6014	2157
736	6023	2149
737	6031	2141
738	6039	2133
739	6048	2125
740	6053	2115
741	6058	2106
742	6067	2098
743	6073	2089
744	6080	2081
745	6090	2073
746	6097	2065
747	6106	2057
748	6114	2049
749	6120	2040
750	6124	2030
751	6130	2021
752	6138	2013
753	6146	2005
754	615754	615755	616755	615756	6171	1980
757	6178	1972
758	6185	1964
759	6194	1956
760	6201	1947
761	6211	1940
762	6223	1933
763	6228	1923
764	6234	1915
765	6240	1906
766	6246	1897
767	6257	1890
768	6267	1882
769	6271	1873
770	6278	1864
771	6284	1856
772	6291	1847
773	6301	1840
774	6307	1831
775	6314	1822
776	6323	1814
777	6332	1806
778	6339	1798
779	634779	634780	635780	635781	636781	6369	1775
782	638783	638783	638784	639784	639785	6408	1744
786	641786	641787	642787	6422	1727
788	642789	643789	643790	643790	643791	644791	644792	645792	645793	646793	646794	647794	647795	647795	6484	1661
796	6492	1653
797	6500	1645
798	6507	1637
799	6517	1629
800	6523	1620
801	653802	653802	653803	654803	654804	655804	655805	655805	655806	656806	656807	657807	657808	657808	657809	658809	659810	659810	659811	660811	6608	1530
812	6615	1521
813	662814	662814	662815	663815	663816	6638816	6643	14888817	6650	14798818	6660	14718819	6666	14638820	6674	14558821	6683	14478822	6691	1439
823	6694	14298824	6709	14238825	6720	14158826	6731	1408
827	6736	13998828	6741	1390829	6748	1382
830	6758	1374
831	6766	1366
832	6774	1358
833	6785	1350
834	6790	1341
835	6796	1333
836	6802	1324
837	6811	1316
838	6822	1309
839	6829	1300
8840	6834	12928841	6845	12848842	6851	12758843	6856	1267844	6868	1259
845	6878	1252
846	6887	1244
847	6893	1235
848	6904	1227
849	6913	1220
850	6921	1211
851	6924	1202
852	6933	1194
8853	6937	1186854	6950	1178
855	6960	1170
856	6969	1162
857	6977	1154
858	6984	1146
859	6988	1137
8860	6990	11288861	6996	11208862	7003	11118863	7009	1103864	7019	1095
865	7030	1087
866	7042	1080
867	7052	1072
868	7059	1064
869	7065	1055
870	7071	1047
871	7080	1039
872	7090	1031
8873	7097	10238874	7106	10158875	7114	10078876	7122	9988877	7132	9918878	7140	982879	7151	975
880	7159	967
881	7168	959
882	7177	951
883	7183	942
8884	7185	933885	7199	926
886	7210	918
887	7218	910
888	7224	902
889	7231	893
890	7237	885
891	7244	877
892	7251	868
893	7260	860
894	7265	852
895	7271	844
896	7279	835
897	7288	827
898	7294	819
899	7300	811
900	7308	803
901	7312	794
902	7319	786
903	7328	778
904	7335	769
905	7339	761
906	7344	753
907	7348	744
908	7352	736
909	7355	727
910	7365	719
911	7371	711
912	7379	703
913	7385	694
914	7391	686
915	7398	678
916	7406	670
917	7412	662
918	7416	653
919	7421	645
920	7425	636
921	7431	628
922	7436	620
923	7442	612
924	7448	603
925	7453	595
926	7460	587
927	7465	579
928	7470	570
929	7473	562
930	7478	554
931	7483	545
932	7486	537
933	7491	529
934	7495	521
935	7499	512
936	7503	504
937	7510	496
938	7515	488
939	7520	480
940	7523	471
941	7527	463
942	7530	455
943	7533	446
944	7537	438
945	7540	430
946	7544	422
947	7548	414
948	7551	405
949	7554	397
950	7558	389
951	7561	381
952	7565	373
953	7568	364
954	7571	356
955	7574	348
956	7577	340
957	7581	332
958	7584	324
959	7589	316
960	7592	308
961	7597	300
962	7601	292
963	7605	284
964	7608	275
965	7612	267
966	7616	259
967	7619	251
968	7624	243
969	7627	235
970	7631	227
971	7635	219
972	7640	212
973	7642	204
974	7646	196
975	7651	188
976	7654	180
977	7660	172
978	7664	164
979	7668	156
980	7671	148
981	7674	140
982	7678	132
983	7681	124
984	7684	117
985	7687	109
986	7691	101
987	7694	93
988	7698	85
989	7701	77
990	7704	69
991	7708	62
992	7711	54
993	7714	46
994	7717	38
995	7720	31
996	7723	23
997	7725	15
998	7728	7
999	7730	0

711	0
